이름,효과,효과 수치 1,효과 수치 2
표범,"시간 제한이 있고, 시간 제한을 넘기면 일정 시간마다 생명이 1 깎입니다.",1,
땃쥐,"탐색당 시간 제한이 있고, 시간 제한을 넘기면 일정 시간마다 생명이 1 깎입니다.",1,
뱀,깃발을 사용할 수 없습니다.,,
앵무새,지뢰를 탐색하면 생명이 추가로 1 더 깎입니다.,1,
청둥오리,10번 탐색할 때마다 무작위 지뢰 1개가 움직입니다.,10,1
곰,지뢰가 20% 더 많아집니다.,20,
청설모,"판의 가로, 세로가 10% 짧아집니다.",10,
두더지,남은 지뢰 개수를 알 수 없습니다.,,
일각고래,무작위 미탐색 1타일은 탐색할 수 없습니다. 매 탐색 시마다 위치가 바뀝니다.,1,
가젤,지뢰가 1개 더 겹쳐 있을 수 있습니다.,1,
순록,라운드 종료 시 얻을 수 있는 보상 중 1개가 비활성화됩니다.,,
고래,최대 생명 증감 효과 이외의 우주복의 효과가 비활성화됩니다.,,
강아지,타일의 모양이 사각형으로 바뀝니다.(고양이에게만 등장합니다),,
고양이,타일의 모양이 육각형으로 바뀝니다.(강아지에게만 등장합니다),,
이구아나,첫 탐색으로 주어지는 빈 타일은 구석의 타일입니다.,,
흰색토끼,숫자가 1씩 높게 표시됩니다.,1,
회색토끼,숫자가 1씩 낮게 표시됩니다.,1,
원숭이,완벽한 승리를 하지 않으면 생명을 1 잃습니다.,1,
닭,임시 생명을 사용할 수 없습니다.,,
거위,음식을 사용할 수 없습니다.,,
다람쥐,무작위 음식을 1개 잃습니다.,1,
