이름,희귀도,효과,조각 개수,분류,획득 제한,소지 제한
생명 그릇 조각,일반,2개를 모으면 최대 생명 +1,2,조각,99,2
사료 한 그릇,일반,생명 2개 회복,,즉시 사용,99,1
방어막 충전,일반,"생명이 깎일 때, 생명 대신 먼저 소모됨",,상시 발동,99,99
사과,일반,수리 도구 목록 새로고침,,음식,99,99
마늘,일반,외계 동물 무효화,,음식,99,99
오렌지,일반,선택한 타일 1개 판별,,음식,99,99
희귀 수리 도구 조각,일반,3개를 모으면 희귀 수리 도구 보상을 획득,3,조각,99,3
수수께끼 씨앗,일반,빈 타일 100개 탐색 후 라운드 종료 시 무작위 음식 2개 획득 후 수수께끼 씨앗은 소모됨,,상시 발동,99,1
추가 우주복,희귀,우주복 중 무작위 하나를 추가로 얻을 수 있음,,즉시 사용,8,1
우주복 개조,희귀,우주복이 2배의 효과를 가짐,,상시 발동,1,1
용과,희귀,무작위 지뢰 타일 5개 판별,,음식,99,99
청포도,희귀,모든 2 타일 판별,,음식,99,99
두리안,희귀,생명이 1개 깎이는 대신 모든 빈 칸 탐색,,음식,99,99
자동 깃발 로봇,희귀,빈 타일을 3번 탐색할 때마다 주변 무작위 지뢰 하나에 깃발을 꽂음,,상시 발동,1,1
자동 계산 로봇,희귀,빈 타일을 3번 탐색할 때마다 주변 무작위 숫자 타일 하나를 탐색함,,상시 발동,1,1
턱수염 로봇,희귀,앞으로 일반 수리 도구 보상은 2번 획득할 수 있음,,상시 발동,1,1
하얀 별,희귀,앞으로 희귀 수리 도구 보상은 3번 획득할 수 있음,,상시 발동,1,1
풍요의 뿔,희귀,최대 생명 증감 및 생명 회복 효과 2배,,상시 발동,1,1
